"sitename","year","totalmonarchs","countsdone"
"HunterCanyon",1980,2,1
"HunterCanyon",1982,30,1
"HunterCanyon",1983,77,2
"HunterCanyon",1986,3,1
"HunterCanyon",1987,3,1
"HunterCanyon",1989,735,1
"HunterCanyon",1990,200,1
"HunterCanyon",1991,87,1
"HunterCanyon",1992,106,4
"HunterCanyon",1993,0,1
"HunterCanyon",1996,150,1
"HunterCanyon",1997,520,1
"HunterCanyon",1998,150,1
"HunterCanyon",2007,50,1
"HunterCanyon",2008,65,1
"HunterCanyon",2012,37,1
"HunterCanyon",2017,137,1
"HunterCanyon",2018,81,6
"HunterCanyon",2019,41,4
"HunterCanyon",2020,7,5
"HunterCanyon",2021,1490,4
"McElvoyCanyon",1976,400,1
"McElvoyCanyon",1980,0,1
"McElvoyCanyon",1982,0,1
"McElvoyCanyon",1983,223,1
"McElvoyCanyon",1984,873,2
"McElvoyCanyon",1986,38,2
"McElvoyCanyon",1987,0,1
"McElvoyCanyon",1989,50,1
"McElvoyCanyon",1990,10,1
"McElvoyCanyon",1991,1,1
"McElvoyCanyon",1992,1,1
"McElvoyCanyon",1997,90,1
"McElvoyCanyon",1998,5,1
"McElvoyCanyon",2002,250,1
"McElvoyCanyon",2007,11,2
"McElvoyCanyon",2008,5,1
"McElvoyCanyon",2012,3,1
"McElvoyCanyon",2017,3,1
"McElvoyCanyon",2018,0,1
"McElvoyCanyon",2019,0,1
"McElvoyCanyon",2020,30,4
"McElvoyCanyon",2021,904,4
"WillowCreek",1980,9,1
"WillowCreek",1982,10,1
"WillowCreek",1983,55,1
"WillowCreek",1984,0,1
"WillowCreek",1985,1,1
"WillowCreek",1986,1,1
"WillowCreek",1987,7,1
"WillowCreek",1989,55,1
"WillowCreek",1990,55,1
"WillowCreek",1991,12,1
"WillowCreek",1992,40,2
"WillowCreek",1996,28,1
"WillowCreek",1997,20,1
"WillowCreek",1998,25,1
"WillowCreek",2007,4,1
"WillowCreek",2008,10,1
"WillowCreek",2012,1,1
"WillowCreek",2017,0,1
"WillowCreek",2018,2,2
"WillowCreek",2019,2,2
"WillowCreek",2020,4,1
"WillowCreek",2021,49,2
